Player Name,Position,Height (inches),Weight (pounds),Draft Round,Draft Pick,College PPG,College RPG,College APG,College Shooting %,College 3PT %,College FT %,Rookie Year PPG,Rookie Year RPG,Rookie Year APG,Rookie FG%,Rookie 3PT%,Rookie FT%,Success
Kirk Hinrich,Guard,76,190,1,7,12.4,3.8,4.7,49.3,43,77.6,12.04,3.41,6.8,38.6,39,80.4,0
Kirk Penney,Guard,77,220,Undrafted,Undrafted,11.4,3.8,1.7,43.4,38.7,75,1.5,0.5,0.5,16.7,33.3,0,0
Kirk Snyder,Forward-Guard,78,225,1,16,16.7,6.4,2.7,42.6,31,67.7,4.97,1.78,0.53,37.2,35.3,66.7,0
Kiwane Garris,Guard,74,183,Undrafted,Undrafted,16.8,3.3,4.3,41.1,36.3,83,2.43,0.68,1,33.8,35.7,76,0
Klay Thompson,Guard,78,220,1,11,17.9,4.8,2.6,42.4,39,82.7,12.52,2.44,2.02,44.3,41.4,86.8,0
Kobe Brown,Forward,79,250,1,30,10.8,6,1.7,49.2,31.3,74.7,2.02,1.41,0.57,41.1,29.2,50,0
Kobe Bufkin,Guard,77,195,1,15,9,3,1.7,46.3,32.5,83.3,4.76,1.94,1.59,37,22.5,50,0
Kobi Simmons,Guard,77,180,Undrafted,Undrafted,8.7,1.6,2,39.5,32.7,77.5,6.12,1.56,2.12,42.3,28.2,100,0
Kosta Koufos,Center,84,245,1,23,14.4,6.7,0.5,50.8,34.9,68,4.67,2.88,0.42,50.8,0,70.6,0
Kostas Antetokounmpo,Forward,82,200,2,60,5.2,2.9,0.4,57.4,13.3,51.6,1,0.5,0,0,0,50,0
Kris Dunn,Guard,75,205,1,5,12.8,5.1,5.8,45,35.4,69.3,3.76,2.13,2.41,37.7,28.8,61,0
Kris Humphries,Forward,81,235,1,14,21.7,10.1,0.7,44.4,34,74.2,4.15,2.94,0.64,40.4,33.3,43.6,0
Kris Joseph,Forward,79,210,2,51,10.5,4.5,1.5,44.9,33.1,70.2,1.17,0.83,0.17,18.2,0,75,0
Kris Murray,Forward,80,210,1,23,12.1,5,1.2,47.3,34.8,69.9,6.06,3.61,1.29,39.6,26.8,66.1,0
Kurk Lee,Guard,75,190,Undrafted,Undrafted,14.1,3.2,2,44.6,35.3,83.1,1.38,0.62,0.71,26.8,20,89.3,0
Kurt Thomas,Forward,81,240,1,10,17.4,9,1.2,52.4,25,68.2,9,5.93,0.62,50.1,0,66.3,0
Kwame Brown,Center,83,290,1,1,2.4,2.4,0.2,58.3,0,26.7,4.53,3.47,0.75,38.7,0,70.7,0
Ky Bowman,Guard,73,187,Undrafted,Undrafted,16.9,6.4,3.9,43.3,38.8,76.2,7.44,2.69,2.91,41.7,30.8,82.9,0
Kyle Alexander,Forward-Center,82,216,Undrafted,Undrafted,4.6,4.9,0.3,58.7,35.7,63.8,1,1.5,0,50,0,0,0
Kyle Collinsworth,Guard,78,210,,,12.2,7.5,5,47.7,28,64.2,3.16,3.34,1.75,38.4,23.5,52.5,0
Kyle Guy,Guard,73,167,2,55,12.5,3,1.6,43.3,42.5,80.6,1.33,0.33,0.33,40,0,0,0
Kyle Korver,Guard-Forward,79,212,2,51,14.1,5.2,2.3,47.2,45.3,89.1,4.46,1.5,0.54,35.2,39.1,79.2,0
Kyle Kuzma,Forward,81,221,1,27,10.1,5.5,1.5,50.6,30.2,63.3,16.13,6.27,1.83,45,36.6,70.7,1
Kyle Lowry,Guard,72,196,1,24,9.5,3.8,3,44.9,32.5,73.7,5.6,3.1,3.2,36.8,37.5,89.3,0
Kyle Singler,Forward,80,228,2,33,16.2,6.9,2,43.3,36.3,77.3,8.78,4.02,0.94,42.8,35,80.6,0
Kyle Weaver,Guard,78,201,2,38,9.6,4.7,3.8,46.4,27.7,71.6,5.34,2.32,1.8,45.9,34.4,70.7,0
Kyle Wiltjer,Forward,82,240,Undrafted,Undrafted,13,4.6,1.3,48.7,42.5,82.4,0.93,0.71,0.14,28.6,30.8,50,0
Kyrie Irving,Guard,74,195,1,1,17.5,3.4,4.3,52.9,46.2,90.1,18.51,3.75,5.39,46.9,39.9,87.2,1
Wayne Ellington,Guard,76,207,1,28,14.7,4.1,2.2,46.3,39.7,80.9,6.64,2.09,0.97,42.4,39.5,87.1,0
Wayne Englestad,Forward,80,245,Undrafted,Undrafted,13,5.9,1.2,50.1,40.7,70.2,2.55,1.45,0.64,37.9,0,60,0
Wayne Selden,Guard,76,232,,,11,3,2.6,43.6,36.6,63.2,5.33,1.67,0.33,62.5,57.1,50,0
Wayne Simien,Forward,81,250,1,29,15,8.3,0.9,55.8,24,78.4,3.4,2.05,0.16,48.3,0,88.2,0
Wayne Turner,Guard,74,190,Undrafted,Undrafted,7.7,2.5,3.3,48.8,31.9,62.9,1.33,1,1.67,16.7,0,33.3,0
Wenyen Gabriel,Forward,81,205,Undrafted,Undrafted,5.7,5.1,0.6,42.6,36.7,62.2,1.73,0.91,0.27,35.3,12.5,60,0
Wesley Matthews,Guard,77,220,Undrafted,Undrafted,13.2,4.9,2.1,44.4,34.1,79.9,9.38,2.33,1.51,48.3,38.2,82.9,0
Wesley Person,Guard-Forward,78,200,1,23,19.1,6.5,2.6,50.4,44.1,74.7,10.44,2.58,1.35,48.4,43.6,79.2,0
Will Barton,Guard,77,181,2,40,15.2,6.5,2.9,47.1,29.9,73.3,4.04,1.99,0.79,38.2,13.8,76.9,0
Will Blalock,Guard,72,205,2,60,11.6,3.1,5,42.1,36.5,71.9,1.79,1.07,1.21,30,20,100,0
Will Bynum,Guard,72,185,Undrafted,Undrafted,9.4,2.1,2.1,38.5,31,73.9,3.6,0.8,1.27,40.4,22.2,62.5,0
Will Conroy,Guard,74,195,Undrafted,Undrafted,9.2,2.8,4.3,44.5,33.1,73,0,0.67,0.33,0,0,0,0
